Depth First Search - Iterative,380,2181,54,2406,0.304432,19.358000000,-1.000000000
Depth First Search - Recursive,380,2181,1800,2500,0.266909,828.482000000,-1.000000000
Breadth First Search - Iterative,380,2181,38,1605,0.253197,-26867957449262319887395484436543959173587913196190669250333736305546705629992009926410814917248359543301379552173914624795723297349469948220298119165771776.000000000,-1.000000000
Breadth First Search - Recursive,380,2181,38,2500,0.303620,15.240000000,-1.000000000
Dijkstra,380,2181,50,16737,0.340216,13.012000000,-1.000000000
Astar,380,2181,38,73743,0.698339,17.217000000,14963.000000000
Depth First Search - Iterative,584,2385,62,2394,0.223193,24.327000000,-1.000000000
Depth First Search - Recursive,584,2385,1800,2499,0.248091,nan,-1.000000000
Breadth First Search - Iterative,584,2385,38,1725,0.193551,15.402000000,-1.000000000
Breadth First Search - Recursive,584,2385,38,2500,0.266409,14.004000000,-1.000000000
Dijkstra,584,2385,54,23660,5.028660,14.291000000,-1.000000000
Astar,584,2385,38,155496,1.876036,20.537000000,14966.000000000
Depth First Search - Iterative,2392,1692,15,15,0.188271,2.782000000,-1.000000000
Depth First Search - Recursive,2392,1692,785,2500,0.290730,161.161000000,-1.000000000
Breadth First Search - Iterative,2392,1692,15,248,0.205912,2.782000000,-1.000000000
Breadth First Search - Recursive,2392,1692,15,2500,0.313878,2.782000000,-1.000000000
Dijkstra,2392,1692,23,294121,2.041157,5.727000000,-1.000000000
Astar,2392,1692,15,15,0.233269,8.068000000,827.000000000
Depth First Search - Iterative,2304,1604,15,15,0.342581,3.346000000,-1.000000000
Depth First Search - Iterative,904,204,15,15,0.167178,6.873000000,-1.000000000
Depth First Search - Iterative,2005,1305,15,15,0.173149,7.231000000,-1.000000000
Depth First Search - Iterative,605,2406,64,2391,0.399522,27.826000000,-1.000000000
Depth First Search - Iterative,1706,1006,15,15,0.170041,8.100000000,-1.000000000
Depth First Search - Iterative,306,2107,52,2409,0.255159,24.250000000,-1.000000000
Depth First Search - Iterative,1407,707,15,15,0.172319,6.102000000,-1.000000000
Depth First Search - Iterative,7,1808,38,2428,0.306052,18.760000000,-1.000000000
Depth First Search - Iterative,1108,408,15,15,0.172792,6.410000000,-1.000000000
Depth First Search - Iterative,2209,1509,15,15,0.174784,4.399000000,-1.000000000
Depth First Search - Recursive,2304,1604,709,926433016,0.507972,nan,-1.000000000
Depth First Search - Recursive,904,204,709,926438016,0.212437,278.195000000,-1.000000000
Depth First Search - Recursive,2005,1305,711,926443016,0.217339,320.714000000,-1.000000000
Depth First Search - Recursive,605,2406,1800,926448016,0.212843,nan,-1.000000000
Depth First Search - Recursive,1706,1006,713,926453016,0.215087,368.253000000,-1.000000000
Depth First Search - Recursive,306,2107,1800,926458016,0.218567,nan,-1.000000000
Depth First Search - Recursive,1407,707,715,926463016,0.404295,nan,-1.000000000
Depth First Search - Recursive,7,1808,1800,926468016,0.412369,9823958314133492142404041954916075342166187502583267300020124980851813607105197379955045139390649445016309274376225267736922140017698807171767149175933489442750058820962109153502574895289342630676542239531344854266297743400158953511832889840649038200832.000000000,-1.000000000
Depth First Search - Recursive,1108,408,717,926473016,0.390384,nan,-1.000000000
Depth First Search - Recursive,2209,1509,719,926478016,0.411387,nan,-1.000000000
Breadth First Search - Iterative,2304,1604,15,208,0.490445,3.346000000,-1.000000000
Breadth First Search - Iterative,904,204,15,301,0.327383,6.873000000,-1.000000000
Breadth First Search - Iterative,2005,1305,15,297,0.259638,6.060000000,-1.000000000
Breadth First Search - Iterative,605,2406,38,1309,0.194626,18.706000000,-1.000000000
Breadth First Search - Iterative,1706,1006,15,341,0.180866,7.754000000,-1.000000000
Breadth First Search - Iterative,306,2107,38,1153,0.294546,20.339000000,-1.000000000
Breadth First Search - Iterative,1407,707,15,358,0.272904,6.148000000,-1.000000000
Breadth First Search - Iterative,7,1808,38,948,0.266362,17.603000000,-1.000000000
Breadth First Search - Iterative,1108,408,15,373,0.274514,6.410000000,-1.000000000
Breadth First Search - Iterative,2209,1509,15,305,0.330096,5.125000000,-1.000000000
Breadth First Search - Recursive,2304,1604,15,2500,0.415758,3.346000000,-1.000000000
Breadth First Search - Recursive,904,204,15,2500,0.336826,6.873000000,-1.000000000
Breadth First Search - Recursive,2005,1305,15,2500,0.278859,6.542000000,-1.000000000
Breadth First Search - Recursive,605,2406,38,2500,0.188295,19.829000000,-1.000000000
Breadth First Search - Recursive,1706,1006,15,2500,0.180195,8.208000000,-1.000000000
Breadth First Search - Recursive,306,2107,38,2500,0.183711,20.110000000,-1.000000000
Breadth First Search - Recursive,1407,707,15,2500,0.212672,6.152000000,-1.000000000
Breadth First Search - Recursive,7,1808,38,2500,0.234042,16.996000000,-1.000000000
Breadth First Search - Recursive,1108,408,15,2500,0.200569,6.410000000,-1.000000000
Breadth First Search - Recursive,2209,1509,15,2500,0.180301,6.603000000,-1.000000000
Dijkstra,2304,1604,19,263714,2.330601,5.430000000,-1.000000000
Dijkstra,904,204,21,47848,0.493344,4.924000000,-1.000000000
Depth First Search - Iterative,332,2133,52,2409,0.223855,25.851000000,-1.000000000
Depth First Search - Recursive,332,2133,1800,2499,0.256606,823.020000000,-1.000000000
Breadth First Search - Iterative,332,2133,38,1533,0.190198,16.687000000,-1.000000000
Breadth First Search - Recursive,332,2133,38,2500,0.218026,12.195000000,-1.000000000
Dijkstra,332,2133,52,15566,0.285370,13.118000000,-1.000000000
Astar,332,2133,38,70973,0.576406,19.004000000,14965.000000000
Depth First Search - Iterative,1252,552,15,15,0.213597,7.628000000,-1.000000000
Depth First Search - Iterative,2353,1653,15,15,0.166496,1.735000000,-1.000000000
Depth First Search - Iterative,953,253,15,15,0.165604,6.730000000,-1.000000000
