Type,Start,End,Path Size,Num Explored,Time,Distance,Cost
Breadth First Search - Iterative,682,2483,38,7,0.190093,-1,-1
Breadth First Search - Iterative,2483,1783,15,6,0.162552,-1,-1
Breadth First Search - Iterative,1783,1083,15,7,0.159931,-1,-1
Breadth First Search - Iterative,1083,383,15,7,0.191394,-1,-1
Breadth First Search - Iterative,383,2184,38,7,0.163142,-1,-1
Breadth First Search - Iterative,2184,1484,15,7,0.161241,-1,-1
Breadth First Search - Iterative,1484,784,15,7,0.162322,-1,-1
Breadth First Search - Iterative,784,84,15,7,0.163253,-1,-1
Breadth First Search - Iterative,84,1885,38,7,0.173769,-1,-1
Breadth First Search - Iterative,1885,1185,15,7,0.173185,-1,-1
,,,,,0.1700882,,Breadth First Search - Iterative,2008,1308,15,7,5.997684,-1.000000000,-1.000000000
Breadth First Search - Iterative,812,112,15,7,20.107428,-1.000000000,-1.000000000
Breadth First Search - Iterative,1118,418,15,7,13.598400,-1.000000000,-1.000000000
Breadth First Search - Iterative,1399,699,15,223,0.248063,-1.000000000,-1.000000000
Breadth First Search - Iterative,699,2500,38,1194,0.270717,-1.000000000,-1.000000000
Breadth First Search - Iterative,2500,1800,15,107,0.252353,-1.000000000,-1.000000000
Breadth First Search - Iterative,1800,1100,15,198,0.244537,-1.000000000,-1.000000000
Breadth First Search - Iterative,1100,400,15,198,0.228265,-1.000000000,-1.000000000
Breadth First Search - Iterative,400,2201,87,2481,0.317390,-1.000000000,-1.000000000
Breadth First Search - Iterative,2201,1501,15,162,0.320554,-1.000000000,-1.000000000
Breadth First Search - Iterative,1501,801,15,198,0.239062,-1.000000000,-1.000000000
Breadth First Search - Iterative,801,101,15,198,0.225108,-1.000000000,-1.000000000
Breadth First Search - Iterative,101,1902,38,814,0.236753,-1.000000000,-1.000000000
Depth First Search - Iterative,389,2190,38,2426,0.290663,-1.000000000,-1.000000000
Depth First Search - Iterative,2190,1490,471,471,0.191758,-1.000000000,-1.000000000
Depth First Search - Iterative,1490,790,851,852,0.243149,-1.000000000,-1.000000000
Depth First Search - Iterative,790,90,1185,1185,0.314153,-1.000000000,-1.000000000
Depth First Search - Iterative,90,1891,38,2426,0.301688,-1.000000000,-1.000000000
Depth First Search - Iterative,1891,1191,645,646,0.199088,-1.000000000,-1.000000000
Depth First Search - Iterative,1191,491,979,979,0.223874,-1.000000000,-1.000000000
Depth First Search - Iterative,491,2292,38,2426,0.295457,-1.000000000,-1.000000000
Depth First Search - Iterative,2292,1592,439,440,0.219748,-1.000000000,-1.000000000
Depth First Search - Iterative,1592,892,771,773,0.232284,-1.000000000,-1.000000000
