Type,Start,End,Length,Nodes Explored,Time,Distance,Cost
Depth First Search - Iterative,1584,884,15,15,0.546182,7.021,-1
Depth First Search - Iterative,884,184,15,15,0.24628,5.616,-1
Depth First Search - Iterative,184,1985,46,2418,1.428318,20.963,-1
Depth First Search - Iterative,1985,1285,15,15,0.318689,4.797,-1
Depth First Search - Iterative,1285,585,15,15,0.326559,5.387,-1
Depth First Search - Iterative,585,2386,62,2394,0.228703,27.407,-1
Depth First Search - Iterative,2386,1686,15,15,0.175669,3.784,-1
Depth First Search - Iterative,1686,986,15,15,0.186981,6.929,-1
Depth First Search - Iterative,986,286,15,15,0.19539,7.329,-1
Depth First Search - Iterative,286,2087,50,2412,0.22749,21.345,-1
Depth First Search - Iterative,2087,1387,15,15,0.177745,8.049,-1
Depth First Search - Iterative,1387,687,15,15,0.18015,4.842,-1
Depth First Search - Iterative,687,2488,66,567,0.301165,27.742,-1
Depth First Search - Iterative,2488,1788,15,15,0.186852,2.668,-1
Depth First Search - Iterative,1788,1088,15,15,0.246173,6.253,-1
Depth First Search - Iterative,1088,388,15,15,0.240171,7.872,-1
Depth First Search - Iterative,388,2189,54,2406,0.245325,24.443,-1
Depth First Search - Iterative,2189,1489,15,15,0.187915,5.264,-1
Depth First Search - Iterative,1489,789,15,15,0.205107,5.312,-1
Depth First Search - Iterative,789,89,15,15,0.183799,6.458,-1
Depth First Search - Iterative,89,1890,42,2425,0.280391,20.918,-1
Depth First Search - Iterative,1890,1190,15,15,0.182937,7.202,-1
Depth First Search - Iterative,1190,490,15,15,0.19232,7.665,-1
Depth First Search - Iterative,490,2291,58,2400,0.239807,27.549,-1
Depth First Search - Iterative,2291,1591,15,15,0.176909,3.9,-1
Depth First Search - Iterative,1591,891,15,15,0.199834,7.606,-1
Depth First Search - Iterative,891,191,15,15,0.213202,7.574,-1
Depth First Search - Iterative,191,1992,46,2418,0.257281,20.54,-1
Depth First Search - Iterative,1992,1292,15,15,0.178061,5.933,-1
Depth First Search - Iterative,1292,592,15,15,0.205023,6.646,-1
Depth First Search - Iterative,592,2393,62,2394,0.244133,26.615,-1
Depth First Search - Iterative,2393,1693,15,15,0.173934,3.126,-1
Depth First Search - Iterative,1693,993,15,15,0.222295,6.685,-1
Depth First Search - Iterative,993,293,15,15,0.22137,7.813,-1
Depth First Search - Iterative,293,2094,50,2412,0.243842,25.571,-1
Depth First Search - Iterative,2094,1394,15,15,0.177748,5.774,-1
Depth First Search - Iterative,1394,694,15,15,0.183132,7.993,-1
Depth First Search - Iterative,694,2495,66,217,0.20843,28.933,-1
Depth First Search - Iterative,2495,1795,15,15,0.30987,2.161,-1
Depth First Search - Iterative,1795,1095,15,15,0.247818,7.754,-1
Depth First Search - Iterative,1095,395,15,15,0.205462,8.046,-1
Depth First Search - Iterative,395,2196,54,2406,0.27188,25.427,-1
Depth First Search - Iterative,2196,1496,15,15,0.17864,6.157,-1
Depth First Search - Iterative,1496,796,15,15,0.23155,4.162,-1
Depth First Search - Iterative,796,96,15,15,0.201286,7.424,-1
Depth First Search - Iterative,96,1897,42,2425,0.310522,20.372,-1
Depth First Search - Iterative,1897,1197,15,15,0.173998,3.732,-1
Depth First Search - Iterative,1197,497,15,15,0.202266,8.338,-1
Depth First Search - Iterative,497,2298,58,2400,0.267889,23.429,-1
Depth First Search - Iterative,2298,1598,15,15,0.225628,3.828,-1
Depth First Search - Iterative,1598,898,15,15,0.195337,6.877,-1
Depth First Search - Iterative,898,198,15,15,0.224334,6.08,-1
Depth First Search - Iterative,198,1999,46,2457,0.37446,21.095,-1
Depth First Search - Iterative,1999,1299,15,15,0.227819,6.532,-1
Depth First Search - Iterative,1299,599,15,15,0.198388,7.139,-1
Depth First Search - Iterative,599,2400,68,138,0.199956,26.405,-1
Depth First Search - Iterative,2400,1700,15,15,0.430193,2.644,-1
Depth First Search - Iterative,1700,1000,15,15,0.191637,6.503,-1
Depth First Search - Iterative,1000,300,15,15,0.187883,6.949,-1
Depth First Search - Iterative,300,2101,1189,1317,0.282634,463.851,-1
Depth First Search - Iterative,2101,1401,15,15,0.237137,6.366,-1
Depth First Search - Iterative,1401,701,15,15,0.268797,5.167,-1
Depth First Search - Iterative,701,1,15,15,0.188434,8.994,-1
Depth First Search - Iterative,1,1802,38,2465,0.280698,18.624,-1
Depth First Search - Iterative,1802,1102,15,15,0.180907,5.38,-1
Depth First Search - Iterative,1102,402,15,15,0.182612,7.977,-1
Depth First Search - Iterative,402,2203,56,2403,0.303391,24.212,-1
