Type,Start,End,Path Size,Num Explored,Time,Distance,Cost
Depth First Search - Iterative,1105,405,15,15,0.225739,-1.000000000,-1.000000000
Depth First Search - Recursive,1105,405,711,2500,0.224477,-1.000000000,-1.000000000
Breadth First Search - Iterative,1105,405,15,322,0.208621,-1.000000000,-1.000000000
Breadth First Search - Recursive,1105,405,15,2500,0.213019,-1.000000000,-1.000000000
Depth First Search - Iterative,2206,1506,15,15,0.201346,-1.000000000,-1.000000000
Depth First Search - Recursive,2206,1506,713,2500,0.273428,-1.000000000,-1.000000000
Breadth First Search - Iterative,2206,1506,15,266,0.211515,-1.000000000,-1.000000000
Breadth First Search - Recursive,2206,1506,15,2500,0.283433,-1.000000000,-1.000000000
Depth First Search - Iterative,106,1907,44,2421,0.377396,-1.000000000,-1.000000000
Depth First Search - Recursive,106,1907,1800,3243,0.266709,-1.000000000,-1.000000000
Breadth First Search - Iterative,106,1907,38,999,0.208252,-1.000000000,-1.000000000
Breadth First Search - Recursive,106,1907,38,2500,0.278697,-1.000000000,-1.000000000
Depth First Search - Iterative,507,2308,60,2397,0.314928,-1.000000000,-1.000000000
Depth First Search - Recursive,507,2308,1800,3407,0.360811,-1.000000000,-1.000000000
Breadth First Search - Iterative,507,2308,38,1333,0.268539,-1.000000000,-1.000000000
Breadth First Search - Recursive,507,2308,38,2500,0.276278,-1.000000000,-1.000000000
Depth First Search - Iterative,908,208,15,15,0.652898,-1.000000000,-1.000000000
Depth First Search - Recursive,908,208,717,2503,0.317884,-1.000000000,-1.000000000
Breadth First Search - Iterative,908,208,15,373,1.419208,-1.000000000,-1.000000000
Breadth First Search - Recursive,908,208,15,2500,0.584218,-1.000000000,-1.000000000
Depth First Search - Iterative,2410,1710,15,15,0.209818,-1.000000000,-1.000000000
Depth First Search - Recursive,2410,1710,721,15250,0.338142,-1.000000000,-1.000000000
Breadth First Search - Iterative,2410,1710,15,234,0.218902,-1.000000000,-1.000000000
Breadth First Search - Recursive,2410,1710,15,2500,0.393445,-1.000000000,-1.000000000
Depth First Search - Iterative,310,2111,52,2409,0.293621,-1.000000000,-1.000000000
Depth First Search - Recursive,310,2111,1800,2500,0.656051,-1.000000000,-1.000000000
Breadth First Search - Iterative,310,2111,38,1299,0.306177,-1.000000000,-1.000000000
Breadth First Search - Recursive,310,2111,38,2500,0.366511,-1.000000000,-1.000000000
Depth First Search - Iterative,711,11,15,15,0.329321,-1.000000000,-1.000000000
Depth First Search - Recursive,711,11,723,3810,0.427370,-1.000000000,-1.000000000
Breadth First Search - Iterative,1112,412,15,413,0.323625,-1.000000000,-1.000000000
Breadth First Search - Recursive,1112,412,15,2500,0.405939,-1.000000000,-1.000000000
Depth First Search - Iterative,1513,813,15,15,0.247562,-1.000000000,-1.000000000
Depth First Search - Recursive,1513,813,727,2500,0.294507,-1.000000000,-1.000000000
Breadth First Search - Iterative,1513,813,15,418,0.258565,-1.000000000,-1.000000000
Breadth First Search - Recursive,1513,813,15,2500,0.316641,-1.000000000,-1.000000000
