Type,Start,End,Length,Nodes Explored,Time,Distance,Cost
Depth First Search - Iterative,1584,884,789,789,0.902495,251.518,-1
Depth First Search - Iterative,884,184,1169,1170,1.589727,441.15,-1
Depth First Search - Iterative,184,1985,38,2426,1.037264,20.9,-1
Depth First Search - Iterative,1985,1285,583,583,0.597326,153.38,-1
Depth First Search - Iterative,1285,585,963,964,0.309583,3.1111E+231,-1
Depth First Search - Iterative,585,2386,38,2426,0.356862,14.941,-1
Depth First Search - Iterative,2386,1686,377,377,0.232372,59.23390397,-1
Depth First Search - Iterative,1686,986,757,758,0.231735,245.429904,-1
Depth First Search - Iterative,986,286,1091,1091,0.305795,415.350904,-1
Depth First Search - Iterative,286,2087,38,2426,0.327037,15.988,-1
Depth First Search - Iterative,2087,1387,551,552,0.2285,135.708,-1
Depth First Search - Iterative,1387,687,885,885,0.27725,304.111,-1
Depth First Search - Iterative,687,2488,38,38,0.28447,14.873,-1
Depth First Search - Iterative,2488,1788,345,345,0.225682,39.758,-1
Depth First Search - Iterative,1788,1088,679,679,0.282202,201.022,-1
Depth First Search - Iterative,1088,388,1059,1060,0.352535,389.763,-1
Depth First Search - Iterative,388,2189,38,2426,0.353816,15.276,-1
Depth First Search - Iterative,2189,1489,473,473,0.242278,98.94,-1
Depth First Search - Iterative,1489,789,853,854,0.246351,288.175,-1
Depth First Search - Iterative,789,89,1187,1187,0.301998,461.322,-1
Depth First Search - Iterative,89,1890,38,2426,0.291295,18.34,-1
Depth First Search - Iterative,1890,1190,647,648,0.244158,188.661,-1
Depth First Search - Iterative,1190,490,981,981,0.254139,354.926,-1
Depth First Search - Iterative,490,2291,38,2426,0.339715,14.093,-1
Depth First Search - Iterative,2291,1591,441,442,0.216026,2.6868E+154,-1
Depth First Search - Iterative,1591,891,775,775,0.295153,245.977,-1
Depth First Search - Iterative,891,191,1155,1156,0.301938,447.9,-1
Depth First Search - Iterative,191,1992,38,2426,0.324861,17.276,-1
Depth First Search - Iterative,1992,1292,567,569,0.219685,149.895,-1
Depth First Search - Iterative,1292,592,949,950,0.265543,340.718,-1
Depth First Search - Iterative,592,2393,38,2426,0.319698,17.789,-1
Depth First Search - Iterative,2393,1693,359,362,0.198615,45.421,-1
Depth First Search - Iterative,1693,993,743,744,0.307721,237.971,-1
Depth First Search - Iterative,993,293,1073,1076,0.279045,406.757,-1
Depth First Search - Iterative,293,2094,38,2426,0.320964,15.104,-1
Depth First Search - Iterative,2094,1394,537,538,0.217459,130.564,-1
Depth First Search - Iterative,1394,694,865,868,0.268096,292.192,-1
Depth First Search - Iterative,694,2495,38,38,0.234907,12.686,-1
Depth First Search - Iterative,2495,1795,331,331,0.250583,35.396,-1
Depth First Search - Iterative,1795,1095,657,660,0.235617,200.653,-1
Depth First Search - Iterative,1095,395,1045,1046,0.315384,391.001,-1
Depth First Search - Iterative,395,2196,38,2426,0.311118,19.062,-1
Depth First Search - Iterative,2196,1496,449,452,0.211349,92.105,-1
Depth First Search - Iterative,1496,796,839,840,0.26892,281.355,-1
Depth First Search - Iterative,796,96,1163,1166,0.293623,444.025,-1
Depth First Search - Iterative,96,1897,38,2426,0.354275,18.702,-1
Depth First Search - Iterative,1897,1197,633,634,0.234573,-3.1111E+231,-1
Depth First Search - Iterative,1197,497,955,958,0.268845,340.319,-1
Depth First Search - Iterative,497,2298,38,2426,0.305374,16.652,-1
Depth First Search - Iterative,2298,1598,427,428,0.271198,80.463,-1
Depth First Search - Iterative,1598,898,749,750,0.264462,234.176,-1
Depth First Search - Iterative,898,198,1141,1142,0.366619,447.464,-1
Depth First Search - Iterative,198,1999,38,2426,0.340417,19.061,-1
Depth First Search - Iterative,1999,1299,621,623,0.243157,178.379,-1
Depth First Search - Iterative,1299,599,1005,1008,0.263004,nan,-1
Depth First Search - Iterative,599,2400,38,2426,0.418334,nan,-1
Depth First Search - Iterative,2400,1700,423,423,0.410764,75.437,-1
Depth First Search - Iterative,1700,1000,815,816,0.291771,273.806,-1
Depth First Search - Iterative,1000,300,1137,1137,0.294452,444.456,-1
Depth First Search - Iterative,300,2101,195,2314,0.466059,16.731,-1
Depth First Search - Iterative,2101,1401,511,2011,0.436986,123.614,-1
