Type,Start,End,Path Size,Num Explored,Time,Distance,Cost
Depth First Search - Iterative,1105,405,1027,1522,0.269157,-1.000000000,-1.000000000
Depth First Search - Recursive,1105,405,15,5000,0.306987,-1.000000000,-1.000000000
Breadth First Search - Iterative,1105,405,15,286,0.176676,-1.000000000,-1.000000000
Breadth First Search - Recursive,1105,405,15,2500,0.226274,-1.000000000,-1.000000000
Depth First Search - Iterative,2206,1506,515,519,0.196649,-1.000000000,-1.000000000
Depth First Search - Recursive,2206,1506,15,5000,0.302372,-1.000000000,-1.000000000
Breadth First Search - Iterative,2206,1506,15,242,0.201199,-1.000000000,-1.000000000
Breadth First Search - Recursive,2206,1506,15,2500,0.423766,-1.000000000,-1.000000000
Depth First Search - Iterative,106,1907,38,2426,0.292704,-1.000000000,-1.000000000
Depth First Search - Recursive,106,1907,1936,5743,0.298573,-1.000000000,-1.000000000
Breadth First Search - Iterative,106,1907,38,999,0.197321,-1.000000000,-1.000000000
Breadth First Search - Recursive,106,1907,38,2500,0.233349,-1.000000000,-1.000000000
Depth First Search - Iterative,507,2308,38,2426,0.319837,-1.000000000,-1.000000000
Depth First Search - Recursive,507,2308,2336,5907,0.407551,-1.000000000,-1.000000000
Breadth First Search - Iterative,507,2308,38,1333,0.229241,-1.000000000,-1.000000000
Breadth First Search - Recursive,507,2308,38,2500,0.431960,-1.000000000,-1.000000000
Depth First Search - Iterative,908,208,1135,1424,0.315720,-1.000000000,-1.000000000
Depth First Search - Recursive,908,208,15,5003,0.348147,-1.000000000,-1.000000000
Breadth First Search - Iterative,908,208,15,331,0.509420,-1.000000000,-1.000000000
Breadth First Search - Recursive,908,208,15,2500,0.349753,-1.000000000,-1.000000000
Depth First Search - Iterative,2410,1710,415,415,0.205898,-1.000000000,-1.000000000
Depth First Search - Recursive,2410,1710,15,17750,0.368345,-1.000000000,-1.000000000
Breadth First Search - Iterative,2410,1710,15,210,0.189449,-1.000000000,-1.000000000
Breadth First Search - Recursive,2410,1710,15,2500,0.305321,-1.000000000,-1.000000000
Depth First Search - Iterative,310,2111,38,2426,0.386374,-1.000000000,-1.000000000
Depth First Search - Recursive,310,2111,2136,5000,0.337985,-1.000000000,-1.000000000
Breadth First Search - Iterative,310,2111,38,1299,0.249733,-1.000000000,-1.000000000
Breadth First Search - Recursive,310,2111,38,2500,0.275860,-1.000000000,-1.000000000
Depth First Search - Iterative,711,11,1237,1316,0.490901,-1.000000000,-1.000000000
Depth First Search - Recursive,711,11,15,6310,0.344795,-1.000000000,-1.000000000
Breadth First Search - Iterative,711,11,15,358,0.234146,-1.000000000,-1.000000000
Breadth First Search - Recursive,711,11,15,2500,0.288007,-1.000000000,-1.000000000
Depth First Search - Iterative,1112,412,1033,1522,0.440599,-1.000000000,-1.000000000
Depth First Search - Recursive,1112,412,15,5397,0.349656,-1.000000000,-1.000000000
Breadth First Search - Iterative,1112,412,15,363,0.382937,-1.000000000,-1.000000000
Breadth First Search - Recursive,1112,412,15,2500,0.482225,-1.000000000,-1.000000000
Depth First Search - Iterative,1513,813,829,1718,0.327047,-1.000000000,-1.000000000
Depth First Search - Recursive,1513,813,15,5000,0.379049,-1.000000000,-1.000000000
Breadth First Search - Iterative,1513,813,15,366,0.226634,-1.000000000,-1.000000000
Breadth First Search - Recursive,1513,813,15,2500,0.416880,-1.000000000,-1.000000000
